CMB,Cosmic Microwave Background,,,,,,,,,,,,
CMD,Charge Management Device,,,,,,,,,,,,
CMM,Coordinate Measuring Machine,,,,,,,,,,,,
CMNT,Colloid Micro-Newton Thruster,,,,,,,,,,,,
CMRR,Common Mode Rejection Ratio,,,,,,,,,,,,
CMS,Charge Management System,,,,,,,,,,,,
CMU,Charge Management Unit,,,,,,,,,,,,
CNES,Centre National d'Etudes Spatiales,,,,,,,,,,,,
COBE,Cosmic Background Explorer,,,,,,,,,,,,
CoC,Certificate of Conformance,,,,,,,,,,,,
COG,Center of Gravity,,,,,,,,,,,,
COM,Centre Of Mass,,,,,,,,,,,,
COMBO,Classifying Objects By Medium-Band Observations,,,,,,,,,,,,
COMS,Communications System (telemetry),,,,,,,,,,,,
COSMOS,Cosmic Evolution Survey,,,,,,,,,,,,
COSWG,Cosmology Working Group,,,,,,,,,,,,
COTE,Check-Out Test Equipment,,,,,,,,,,,,
COTS,Commercial off the Shelf,,,,,,,,,,,,
CPE,Control and PAAM Electronics (CPE),,,,,,,,,,,,
CPIS,Consortium Provided Items,,,,,,,,,,,,
CPPA,Coordinated Parts Procurement Agency,,,,,,,,,,,,
CPTA,Chinese Pulsar Timing Array,,,,,,,,,,,,
CPU,Central Processing Unit,,,,,,,,,,,,
CQP,Calibrated Quadrant Photodiode Pair,,,,,,,,,,,,
CR,Change Request,,,,,,,,,,,,
CRS,Contamination requirements specification,,,,,,,,,,,,
CAR,Contamination Analysis Report,,,,,,,,,,,,
CRB,Change Review Board,,,,,,,,,,,,
CReMA,Consolidated Report on Mission Analysis,,,,,,,,,,,,
CS,Conducted Susceptibility,,,,,,,,,,,,
CS,Cosmic String,,,,,,,,,,,,
CSAR,Configuration Status Accounting Report,,,,,,,,,,,,
CSD,Cross Spectral Density,,,,,,,,,,,,
CST,Community Science Team,,,,,,,,,,,,
CTE,Coefficient Of Thermal Expansion,,,,,,,,,,,,
CTP,Core Technology Program,,,,,,,,,,,,
CVCM,"Collected volatile condensable material,",,,,,,,,,,,,
CVM,Caging and Venting Mechanism,,,,,,,,,,,,
CW,Continuous Wave,,,,,,,,,,,,
CW,ClockWise,,,,,,,,,,,,
CWD,Compact White Dwarf binaries,,,,,,,,,,,,
DA,Data Analysis,,,,,,,,,,,,
DAAP,Deep Analysis Alert Pipeline,,,,,,,,,,,,
DAC,Digital-to-Analog Converter,,,,,,,,,,,,
DACU,Diagnostic Acquisition and Control Unit,,,,,,,,,,,,
DAFTWP,Data Analysis Framework and Tools Work Packages,,,,,,,,,,,,
DAUGHTER-S,Daughter spacecraft,,,,,,,,,,,,
DB,Data Base,,,,,,,,,,,,
DC,Direct Current,,,,,,,,,,,,
DCBH,Direct Collapse Black Hole,,,,,,,,,,,,
DCC,Data Computing Centre,,,,,,,,,,,,
DCI,Dossier de Contrôle des Interfaces,,,,,,,,,,,,
DCIU,Digital Control Interface Unit,,,,,,,,,,,,
DCL,Declared Components List,,,,,,,,,,,,
DCP,De-Commissioning Phase,,,,,,,,,,,,
DCR,Document Change Request,,,,,,,,,,,,
DD,Displacement Damage,,,,,,,,,,,,
DDE,Diagnostics Drive Electronics,,,,,,,,,,,,
DDF,Design Definition File,,,,,,,,,,,,
DDPC,Distributed Data Processing Centre,,,,,,,,,,,,
DDVP,"Design, Development and Verification Plan",,,,,,,,,,,,
DEEP2,Deep Extragalactic Evolutionary Probe 2,,,,,,,,,,,,
DF,drag-free,,,,,,,,,,,,
DFACS,Drag-Free Attitude Control System,,,,,,,,,,,,
DGMM,Detailed Geometrical Mathematical Model,,,,,,,,,,,,
DHLC,Data Handling And Laser Control,,,,,,,,,,,,
DJF,Design Justification File,,,,,,,,,,,,
DLL,delay-locked loop,,,,,,,,,,,,
DLR,Deutsches Zentrum für Luft- und Raumfahrt,,,,,,,,,,,,
DM,Differential Mode,,,,,,,,,,,,
DM,Development Model,,,,,,,,,,,,
DM,Dark Matter,,,,,,,,,,,,
DML,Declared Material List,,,,,,,,,,,,
DMPL,Declared Mechanical Part List,,,,,,,,,,,,
DMS,Document Management System,,,,,,,,,,,,
DMU,Data Management Unit,,,,,,,,,,,,
DNEL,Disconnection of Non-Essential Loads,,,,,,,,,,,,
DOD,Depth Of Discharge,,,,,,,,,,,,
DOF,Degrees Of Freedom,,,,,,,,,,,,
DP,Diagnostic Package,,,,,,,,,,,,
DPA,Destructive Physical Analysis,,,,,,,,,,,,
DPC,Data Processing Centre,,,,,,,,,,,,
DPL,Declared Process List,,,,,,,,,,,,
DPL,Daily Pipeline,,,,,,,,,,,,
DPLL,Digital Phase Locked Loop,,,,,,,,,,,,
DPS,Differential Power Sensing,,,,,,,,,,,,
DR,data release,,,,,,,,,,,,
DRB,Delivery Review Board,,,,,,,,,,,,
DRPT,Data Release Product Team,,,,,,,,,,,,
DRD,Document Requirements Definition,,,,,,,,,,,,
DRL,Document Requirements List,,,,,,,,,,,,
DRS,Disturbance Reduction System,,,,,,,,,,,,
DS,Diagnostics Subsystem,,,,,,,,,,,,
DSA,Deep Space Antenna,,,,,,,,,,,,
DSC,Daughter Space Craft,,,,,,,,,,,,
DSN,Deep Space Network,,,,,,,,,,,,
DSP,Data Signal Processing,,,,,,,,,,,,
DST,Deep Space Transponder,,,,,,,,,,,,
DTCP,Daily Telemetry Communications Period,,,,,,,,,,,,
DTM,Deterministic Transfer Manoeuvre,,,,,,,,,,,,
DTMM,Detailed Thermal Mathematical Model,,,,,,,,,,,,
DTU,Danmarks Tekniske Universitet,,,,,,,,,,,,
DUT,Device under test,,,,,,,,,,,,
DWD,Double White Dwarf (binary),,,,,,,,,,,,
DWS,Differential Wavefront Sensing,,,,,,,,,,,,
E2E,End-to-End,,,,,,,,,,,,
EAR,Export Authorisation Regulation,,,,,,,,,,,,
EBB,Engineering (or Elegant) Bread Board,,,,,,,,,,,,
EBM,External Balance Mass,,,,,,,,,,,,
EC,Export Control,,,,,,,,,,,,
ECDL,Extended Cavity Diode Laser,,,,,,,,,,,,
ECSS,European Cooperation for Space Standardization,,,,,,,,,,,,
ECP,Export Control Plan,,,,,,,,,,,,
EDU,Engineering Development Unit,,,,,,,,,,,,
EED,Electro-Explosive Device,,,,,,,,,,,,
EEE,"Electrical, Electronic and Electro-mechanical",,,,,,,,,,,,
EEPROM,Electrically Erasable Programmable Read-Only Memory,,,,,,,,,,,,
EFC2,ESA/ESTEC Frame Contract 2,,,,,,,,,,,,
EGAPS,European Galactic Plane Surveys,,,,,,,,,,,,
EGSE,Electrical Ground Support Equipment,,,,,,,,,,,,
EH,Electrode Housing,,,,,,,,,,,,
EIDP,End Item Data Package,,,,,,,,,,,,
EIRP,Effective Isotropic Radiative Power,,,,,,,,,,,,
ELISA,Evolved Laser Interferometer Space Antenna,,,,,,,,,,,,
ELITE,European LISA Technology Experiment,,,,,,,,,,,,
ELT,Extremely Large Telescope,,,,,,,,,,,,
EM,Engineering Model,,,,,,,,,,,,
EMC,Earth-Mean Ecliptic,,,,,,,,,,,,
EMC,Electro-Magnetic Compatibility,,,,,,,,,,,,
EME,Earth Mean Equator of J2000,,,,,,,,,,,,
EMI,Electro-Magnetic Interference,,,,,,,,,,,,
EMRB,Extreme Mass-Ratio Bursts,,,,,,,,,,,,
EMRI,Extreme Mass-Ratio Inspiral,,,,,,,,,,,,
EOB,effective one-body,,,,,,,,,,,,
eNCTS,Nonconformance tracking,,,,,,,,,,,,
EOC,End Of Charge,,,,,,,,,,,,
EOD,End Of Discharge,,,,,,,,,,,,
EOL,End-Of-Life,,,,,,,,,,,,
EOM,Electro-Optical Modulator,,,,,,,,,,,,
EOM,Equations of Motion,,,,,,,,,,,,
EPPL,European Preferred Part List,,,,,,,,,,,,
EPMS,Extended Phase Measuring System,,,,,,,,,,,,
EPS,Electrical Power System,,,,,,,,,,,,
EPTA,European Pulsar Timing Array,,,,,,,,,,,,
EQM,Engineering Qualification Model,,,,,,,,,,,,
ERST,Early Release Science Time,,,,,,,,,,,,
ESA,European Space Agency,,,,,,,,,,,,
ESAC,European Space Astronomy Centre,,,,,,,,,,,,
ESDC,ESAC Science Data Centre,,,,,,,,,,,,
ESCC,European Space Components Coordination,,,,,,,,,,,,
ESD,Electrostatic Discharge,,,,,,,,,,,,
ESOC,European Space Operations Centre,,,,,,,,,,,,
ESP,Extended Science Phase,,,,,,,,,,,,
ESTEC,European Space Research and Technology Centre,,,,,,,,,,,,
ESTRACK,European Space TRACKing,,,,,,,,,,,,
ET,Einstein Telescope,,,,,,,,,,,,
"ETH, ETHZ",Eidgenössische Technische Hochschule Zürich,,,,,,,,,,,,
ETU,Engineering Thermal Unit,,,,,,,,,,,,
EW,Electroweak,,,,,,,,,,,,
FA,Fiber Amplifier,,,,,,,,,,,,
FAQ,Frequently Asked Question(s),,,,,,,,,,,,
FBD,Functional Block Diagram,,,,,,,,,,,,
FCC,Future Circular Collider,,,,,,,,,,,,
FCL,Fold-back Current Limiter,,,,,,,,,,,,
FCV,Flow Control Valve,,,,,,,,,,,,
FCV,Functional Configuration Verification,,,,,,,,,,,,
FD,Flight Dynamics,,,,,,,,,,,,
FDDB,Flight Dynamics Data Base,,,,,,,,,,,,
FDIR,"Failure Detection, Isolation, And Recovery",,,,,,,,,,,,
FDS,Frequency Distribution System,,,,,,,,,,,,
FDV,Fill and Drain Valve,,,,,,,,,,,,
FE,Finite Element,,,,,,,,,,,,
FEE,Front-End Electronics,,,,,,,,,,,,
FEE SAU,Front-End Electronics Sensing And Actuation Unit,,,,,,,,,,,,
FEEP,Field-Emission Electric Propulsion,,,,,,,,,,,,
FEM,Finite Element Model,,,,,,,,,,,,
FER,Frame Error Rate,,,,,,,,,,,,
FFPT,Full Functional Performance Test,,,,,,,,,,,,
FFT,Full Functional Test,,,,,,,,,,,,
FIOS,Fibre Injector Optical Subassembly,,,,,,,,,,,,
FIT,Failure In Time (per billion cycles),,,,,,,,,,,,
FITS,Flexible Image Transport System,,,,,,,,,,,,
FM,Flight Model,,,,,,,,,,,,
FMEA,"Failure Mode, Effects and Analysis",,,,,,,,,,,,
FMECA,Failure Mode Effects and Criticality Analysis,,,,,,,,,,,,
FMT,Formulation Management Team,,,,,,,,,,,,
FOH,Fibre Optical Harness,,,,,,,,,,,,
FO,Fibre optics,,,,,,,,,,,,
FOM,Figures of Merit,,,,,,,,,,,,
FOP,Flight Operations Plan,,,,,,,,,,,,
FOPT,First-Order Phase Transition,,,,,,,,,,,,
FOS,Factor of Safety,,,,,,,,,,,,
FOV,Field of View,,,,,,,,,,,,
FPAG,Fundamental Physics Advisory Group,,,,,,,,,,,,
FPGA,Field-Programmable Gate Array,,,,,,,,,,,,
FPWG,Fundamental Physics Working Group,,,,,,,,,,,,
FRS,Frequency Reference System,,,,,,,,,,,,
FRS-E,Frequency Reference System- Electrical,,,,,,,,,,,,
FRS-O,Frequency Reference System- Optical,,,,,,,,,,,,
FS,Flight Spare,,,,,,,,,,,,
FS,Flight Segment,,,,,,,,,,,,
FSM,Finite State Machine,,,,,,,,,,,,
FSU,Fibre Switching Unit,,,,,,,,,,,,
FSUA,Fiber Switch Unit Actuator,,,,,,,,,,,,
FTE,Full-Time Equivalent,,,,,,,,,,,,
FUMO,Functional Model,,,,,,,,,,,,
FVV,Fill and Vent Valve,,,,,,,,,,,,
FWHM,Full Width Half Maximum,,,,,,,,,,,,
FZU,Institute of Physics of the Czech Academy of Sciences,,,,,,,,,,,,
GB,Galactic Binary,,,,,,,,,,,,
GBS,Galactic Binaries,,,,,,,,,,,,
GCR,Galactic Cosmic Ray,,,,,,,,,,,,
GCRS,Geocentric Celestial Reference System,,,,,,,,,,,,
GND,Ground,,,,,,,,,,,,
GOAT,Gravitational Observatory Advisory Team,,,,,,,,,,,,
GPRM,"Grabbing, Positioning & Release Mechanism",,,,,,,,,,,,
GR,General Theory Of Relativity,,,,,,,,,,,,
GR740,LEON4 SPARCv8 microprocessor,,,,,,,,,,,,
GRACE,Gravity Recovery and Climate Experiment,,,,,,,,,,,,
GRB,Gamma-Ray Burst,,,,,,,,,,,,
GRS,Gravitational Reference Subsystem,,,,,,,,,,,,
GRS-FEE,Gravitational Reference Subsystem Front End Electronics,,,,,,,,,,,,
GRSH,Gravitational Reference Subsystem Head,,,,,,,,,,,,
GRS- HSU,Gravitational Reference Subsystem Harness Splitter Unit,,,,,,,,,,,,
GS,Ground Station,,,,,,,,,,,,
GS,Ground Segment,,,,,,,,,,,,
GSE,Ground Support Equipment,,,,,,,,,,,,
GSIR,Ground Segment Implementation Review,,,,,,,,,,,,
GSF,Gravitational Self-Force,,,,,,,,,,,,
GSFC,Goddard Space Flight Center,,,,,,,,,,,,
GSORR,Ground Segment Operations Readiness Review,,,,,,,,,,,,
GSRR,Ground Segment Readiness Review,,,,,,,,,,,,
GUT,Grand Unified Theory,,,,,,,,,,,,
GW,Gravitational Wave,,,,,,,,,,,,
GW-WG,Gravitational-wave Observatory Working Group,,,,,,,,,,,,
"H/W, HW",Hardware,,,,,,,,,,,,
HBR,High Bit Rate,,,,,,,,,,,,
HC-HPC,High Current-High Power Command,,,,,,,,,,,,
HDF,Hierarchical Data Format,,,,,,,,,,,,
HDRM,Hold Down and Release Mechanism,,,,,,,,,,,,
HDSW,Hardware-Dependent Software,,,,,,,,,,,,
HEO,High Earth Orbit,,,,,,,,,,,,
HETO,Heliocentric Earth Trailing Orbit,,,,,,,,,,,,
HG,Mercury,,,,,,,,,,,,
HGA,High-Gain Antenna,,,,,,,,,,,,
HK,Housekeeping,,,,,,,,,,,,
HL-LHC,High Luminosity Large Hadron Collider,,,,,,,,,,,,
HPC,High Power Command,,,,,,,,,,,,
HR,High Resolution,,,,,,,,,,,,
HR-LA,High Resolution Low Authority,,,,,,,,,,,,
HR-MA,High Resolution Maximum Authority,,,,,,,,,,,,
HSIA,Hardware Software Interaction Analysis,,,,,,,,,,,,
HST,Hubble Space Telescope,,,,,,,,,,,,
HV-HPC,High Voltage-High Power Command,,,,,,,,,,,,
"I&T, IT",Integration and Test(ing),,,,,,,,,,,,
"I/F, IF",Interface,,,,,,,,,,,,
IA,Instrument Amplifier,,,,,,,,,,,,
IAAS,Infrastructure As A Service,,,,,,,,,,,,
IAU,International Astronomical Union,,,,,,,,,,,,
IBM,Internal Balance Mass,,,,,,,,,,,,
ICC,Instrument Control Computer,,,,,,,,,,,,
ICD,Interface Control Document,,,,,,,,,,,,
ICRF,International Celestial Reference Frame,,,,,,,,,,,,
ICRS,International Celestial Reference System,,,,,,,,,,,,
ICSO,Innermost Stable Circular Orbit,,,,,,,,,,,,
IDA,Initial Displacement Angle,,,,,,,,,,,,
IDL,Interferometer Data Log,,,,,,,,,,,,
IDM,Information Documentation Management,,,,,,,,,,,,
IDS,Interferometric Detection Subsystem,,,,,,,,,,,,
IEEC,Institut d'Estudis Espacials de Catalunya,,,,,,,,,,,,
IF,Interface,,,,,,,,,,,,
IFO,InterFerOmeter,,,,,,,,,,,,
IFP,In-Field Pointing,,,,,,,,,,,,
IFVM,Interface Verification Model,,,,,,,,,,,,
IGM,Inter-Galactic Medium,,,,,,,,,,,,
ILS,Instrument Line of Sight,,,,,,,,,,,,
IMA,Integrated Modular Avionics,,,,,,,,,,,,
IMBH,Intermediate-Mass Black Hole,,,,,,,,,,,,
IMBHB,Intermediate Mass Black Hole Binary,,,,,,,,,,,,
IMF,Initial Mass Function,,,,,,,,,,,,
IMR,Inspiral-Merger-Ringdown,,,,,,,,,,,,
IMRI,Intermediate Mass-Ratio Inspiral,,,,,,,,,,,,
IMS,Interferometric Measurement System,,,,,,,,,,,,
IN2P3,National Institute of Nuclear and Particle Physics,,,,,,,,,,,,
INFN,Instituto Nazionale di Fisica Nucleare,,,,,,,,,,,,
InGaAs,Indium-Gallium Arsenide,,,,,,,,,,,,
INPTA,Indian pulsar Timing Array,,,,,,,,,,,,
INREP,Initial Noise Reduction Pipeline,,,,,,,,,,,,
INSPRL,Interferometer in Space for Detecting Gravity-wave Radiation using Lasers,,,,,,,,,,,,
IOT,Instruments Operations Team,,,,,,,,,,,,
IPC,Industrial Policy Committee,,,,,,,,,,,,
IPT,Integrated Product Team,,,,,,,,,,,,
IPTF,intermediate Palomar Transient Factory,,,,,,,,,,,,
IPU,Interferometry Processing Unit,,,,,,,,,,,,
IR,Infra-red,,,,,,,,,,,,
IRD,Interface Requirement Document,,,,,,,,,,,,
ISC,Inter-spacecraft Laser Communication,,,,,,,,,,,,
ISH,Inertial Sensor Head,,,,,,,,,,,,
ISI,Inter-Satellite Interferometer,,,,,,,,,,,,
ISL,Inter Satellite Link,,,,,,,,,,,,
ISM,Instrument Sensitivity Model,,,,,,,,,,,,
ISPE,Instrument Scientists \& Payload Experts,,,,,,,,,,,,
ISUK,Inertial Sensor UV Kit,,,,,,,,,,,,
ISVV,Independent Software Verification and Validation,,,,,,,,,,,,
IT,Information Technology,,,,,,,,,,,,
ITAR,International Traffic in Arms Regulations,,,,,,,,,,,,
ITAT,Integrated Technical Advisory Team(s),,,,,,,,,,,,
ITRF,International Terrestrial Reference Frame,,,,,,,,,,,,
ITT,Invitation To Tender,,,,,,,,,,,,
JILA,Joint Institute For Laboratory Astrophysics,,,,,,,,,,,,
JPIP,Joint Project Implementation Plan,,,,,,,,,,,,
JPL,Jet Propulsion Laboratory,,,,,,,,,,,,
KO,Kick-off,,,,,,,,,,,,
KIP,Key Inspection Point,,,,,,,,,,,,
KPI,Key Performance Indicator,,,,,,,,,,,,
KRU,Kourou,,,,,,,,,,,,
"KU, KUL",Katholieke Universiteit Leuven,,,,,,,,,,,,
L0,Level 0 data,,,,,,,,,,,,
L0.5,Level 0.5 data,,,,,,,,,,,,
L1,Level 1 data,,,,,,,,,,,,
L2,Level 2 data,,,,,,,,,,,,
L3,Level 3 data,,,,,,,,,,,,
LA,Launch Adapter,,,,,,,,,,,,
LAT,Lot Acceptance Test,,,,,,,,,,,,
LBR,Low Bit Rate,,,,,,,,,,,,
LAGOS,Laser Antenna For Gravitational-Radiation Observation In Space,,,,,,,,,,,,
LCA,LISA Core Assembly,,,,,,,,,,,,
LCC,Life Cycle Cost,,,,,,,,,,,,
LCL,Latching Current Limiter,,,,,,,,,,,,
LCL,LISA Consortium Lead,,,,,,,,,,,,
LCM,Spacecraft Composite Stack,,,,,,,,,,,,
LD,Laser Diode,,,,,,,,,,,,
LDB,LISA Mission Database,,,,,,,,,,,,
LDC,LISA Data Challenge,,,,,,,,,,,,
LDCWG,LISA Data Challenge Working Group,,,,,,,,,,,,
LDP,LISA Data Processing,,,,,,,,,,,,
LDPC,Low-Density Parity Check,,,,,,,,,,,,
LDPG,LISA Data Progressing Group,,,,,,,,,,,,
LED,Light-Emitting Diode,,,,,,,,,,,,
LEM,Laser Electronics Module,,,,,,,,,,,,
LEOP,Launch and Early Operations Phase,,,,,,,,,,,,
LFS,Laser Frequency Stabilisation,,,,,,,,,,,,
LGA,Low-Gain Antenna,,,,,,,,,,,,
LH,Laser Head,,,,,,,,,,,,
LHC,Large Hadron Collider,,,,,,,,,,,,
LHCP,Left Hand Circular Polarization,,,,,,,,,,,,
LI,List,,,,,,,,,,,,
LIC,Lisa Instrument Consortium,,,,,,,,,,,,
LID / LIC,Laser Induced Damage (LID) and Laser Induced Contamination (LIC),,,,,,,,,,,,
LIG,LISA Instrument Group,,,,,,,,,,,,
LIGO,Laser Interferometer Gravitational Wave Observatory,,,,,,,,,,,,
LIMAS,LISA Instrument and Metrology Avionics System,,,,,,,,,,,,
LISA,Laser Interferometer Space Antenna,,,,,,,,,,,,
LISN,Line Impedance Stabilization Network,,,,,,,,,,,,
LISPEG,LISA Instrument Scientists and Payload Experts Group,,,,,,,,,,,,
LIST,Lisa International Science Team,,,,,,,,,,,,
LLAP,Low Latency Alert Pipeline,,,,,,,,,,,,
LLD,Launch Lock Device,,,,,,,,,,,,
LLI,Long Lead Item,,,,,,,,,,,,
LM,Life Model,,,,,,,,,,,,
LMB / LMBW," 
LISA Measurement Bandwidth",,,,,,,,,,,,
LMC,Large Magellanic Cloud,,,,,,,,,,,,
LMF,LISA Mission Formulation,,,,,,,,,,,,
LMT,Large Momentum Transfer,,,,,,,,,,,,
LO,Local Oscillator,,,,,,,,,,,,
LOA,Letter of Agreement,,,,,,,,,,,,
LOCS,LISA Opto-mechanical Core System,,,,,,,,,,,,
LOLIPP,Level 0 To Level 1 Pipeline Procedure,,,,,,,,,,,,
LOM,Laser Optical Module,,,,,,,,,,,,
LOS,Line Of Sight,,,,,,,,,,,,
LPF,Lisa Pathfinder,,,,,,,,,,,,
LPS,Launch Power Supply,,,,,,,,,,,,
LRI,Laser-Ranging Interferometer,,,,,,,,,,,,
LRR,Launch Readiness Review,,,,,,,,,,,,
LS,Laser System,,,,,,,,,,,,
LSA,Launch Service Agreement,,,,,,,,,,,,
LSB,Least Significant Bit,,,,,,,,,,,,
LSG,Lisa Science Group,,,,,,,,,,,,
LSGCORE,LISA Science Group Core Team,,,,,,,,,,,,
LSO,Last Stable Orbit,,,,,,,,,,,,
LSST,Large Synoptic Survey Telescope,,,,,,,,,,,,
LST,LISA Science Team,,,,,,,,,,,,
LTC,Light Time Correction,,,,,,,,,,,,
LTP,Lisa Pathfinder Technology Package,,,,,,,,,,,,
LTPDA,LISA Technology Package Data Analysis,,,,,,,,,,,,
LTT,Light Travel Time,,,,,,,,,,,,
LUT,Look-Up Table,,,,,,,,,,,,
LV,Launch vehicle,,,,,,,,,,,,
LV,Latch Valve,,,,,,,,,,,,
LVA,Launch Vehicle Adaptor,,,,,,,,,,,,
LVDS,Low Voltage Differential Signalling,,,,,,,,,,,,
LVK,"LIGO, Virgo, and KAGRA",,,,,,,,,,,,
MA,Mission Assurance,,,,,,,,,,,,
MAC,Mass Acceleration Curve,,,,,,,,,,,,
MAIT,Manufacturing Assembly Integration Tolerances,,,,,,,,,,,,
MAR,Mission Adoption Review,,,,,,,,,,,,
MAXI,Monitor Of All-Sky X-Ray Image,,,,,,,,,,,,
MBH,Massive Black Hole,,,,,,,,,,,,
MBHB,Massive Black Hole Binary,,,,,,,,,,,,
MBW,Measurement Bandwidth,,,,,,,,,,,,
